circuit_name,folder,label_graph,num_nodes,num_edges,avg_degree,avg_in_degree,avg_out_degree,frac_xor,frac_xnor,frac_assign,frac_behavioral
Priority.v,verilog_benchmark_circuits,0,1951,2783,2.8528959507944642,1.4264479753972321,1.4264479753972321,0.0,0.0,0.0,0.0
adder.v,verilog_benchmark_circuits,0,2547,3311,2.5999214762465646,1.2999607381232823,1.2999607381232823,0.0,0.0,0.0,0.0
arbiter.v,verilog_benchmark_circuits,0,23574,35157,2.9826927971494017,1.4913463985747009,1.4913463985747009,0.0,0.0,0.0,0.0
bar.v,verilog_benchmark_circuits,0,3222,6423,3.9869646182495346,1.9934823091247673,1.9934823091247673,0.0,0.0,0.0,0.0
c1355.v,verilog_benchmark_circuits,0,591,1064,3.6006768189509306,1.8003384094754653,1.8003384094754653,0.0,0.0,0.0,0.0
c17.v,verilog_benchmark_circuits,0,13,14,2.1538461538461537,1.0769230769230769,1.0769230769230769,0.0,0.0,0.0,0.0
c1908.v,verilog_benchmark_circuits,0,537,987,3.6759776536312847,1.8379888268156424,1.8379888268156424,0.0,0.0,0.0,0.0
c2670.v,verilog_benchmark_circuits,0,974,1455,2.9876796714579057,1.4938398357289528,1.4938398357289528,0.0,0.0,0.09240246406570841,0.0
c3540.v,verilog_benchmark_circuits,0,1106,2112,3.819168173598553,1.9095840867992766,1.9095840867992766,0.0,0.0,0.0,0.0
c432.v,verilog_benchmark_circuits,0,211,351,3.3270142180094786,1.6635071090047393,1.6635071090047393,0.08530805687203792,0.0,0.0,0.0
c499.v,verilog_benchmark_circuits,0,247,408,3.3036437246963564,1.6518218623481782,1.6518218623481782,0.42105263157894735,0.0,0.0,0.0
c5315.v,verilog_benchmark_circuits,0,1881,3520,3.742690058479532,1.871345029239766,1.871345029239766,0.0,0.0,0.010101010101010102,0.0
c6288.v,verilog_benchmark_circuits,0,2416,4721,3.908112582781457,1.9540562913907285,1.9540562913907285,0.0,0.0,0.0,0.0
c7552.v,verilog_benchmark_circuits,0,2645,4622,3.4948960302457466,1.7474480151228733,1.7474480151228733,0.0,0.0,0.01890359168241966,0.0
c880.v,verilog_benchmark_circuits,0,407,685,3.366093366093366,1.683046683046683,1.683046683046683,0.0,0.0,0.0,0.0
cavlc.v,verilog_benchmark_circuits,0,1262,1945,3.0824088748019016,1.5412044374009508,1.5412044374009508,0.0,0.0,0.0,0.0
ctrl.v,verilog_benchmark_circuits,0,339,505,2.9793510324483776,1.4896755162241888,1.4896755162241888,0.0,0.0,0.0029498525073746312,0.0
dec.v,verilog_benchmark_circuits,0,576,872,3.0277777777777777,1.5138888888888888,1.5138888888888888,0.0,0.0,0.0,0.0
i2c.v,verilog_benchmark_circuits,0,2299,3487,3.0334928229665072,1.5167464114832536,1.5167464114832536,0.0,0.0,0.006524575902566333,0.0
int2float.v,verilog_benchmark_circuits,0,425,672,3.1623529411764704,1.5811764705882352,1.5811764705882352,0.0,0.0,0.0,0.0
max.v,verilog_benchmark_circuits,0,5704,8057,2.8250350631136043,1.4125175315568022,1.4125175315568022,0.0,0.0,0.0,0.0
router.v,verilog_benchmark_circuits,0,427,624,2.9227166276346606,1.4613583138173303,1.4613583138173303,0.0,0.0,0.0,0.0
sin.v,verilog_benchmark_circuits,0,7703,13095,3.399974036089835,1.6999870180449175,1.6999870180449175,0.0,0.0,0.0,0.0
Priority__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,1953,2783,2.8499743983614954,1.4249871991807477,1.4249871991807477,0.0,0.0,0.0005120327700972862,0.0005120327700972862
adder__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,2549,3311,2.597881522165555,1.2989407610827775,1.2989407610827775,0.0,0.0,0.00039231071008238524,0.00039231071008238524
arbiter__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,23576,35157,2.9824397692568714,1.4912198846284357,1.4912198846284357,0.0,0.0,4.241601628775026e-05,4.241601628775026e-05
bar__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,3224,6423,3.9844913151364763,1.9922456575682381,1.9922456575682381,0.0,0.0,0.00031017369727047146,0.00031017369727047146
c1355__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,593,1064,3.588532883642496,1.794266441821248,1.794266441821248,0.0,0.0,0.0016863406408094434,0.0016863406408094434
c17__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,15,14,1.8666666666666667,0.9333333333333333,0.9333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667
c1908__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,539,987,3.6623376623376624,1.8311688311688312,1.8311688311688312,0.0,0.0,0.0018552875695732839,0.0018552875695732839
c2670__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,975,1455,2.9846153846153847,1.4923076923076923,1.4923076923076923,0.0,0.0,0.09230769230769231,0.0010256410256410256
c3540__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,1108,2112,3.812274368231047,1.9061371841155235,1.9061371841155235,0.0,0.0,0.0009025270758122744,0.0009025270758122744
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,213,351,3.295774647887324,1.647887323943662,1.647887323943662,0.08450704225352113,0.0,0.004694835680751174,0.004694835680751174
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,249,408,3.2771084337349397,1.6385542168674698,1.6385542168674698,0.41767068273092367,0.0,0.004016064257028112,0.004016064257028112
c5315__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,1882,3519,3.7396386822529224,1.8698193411264612,1.8698193411264612,0.0,0.0,0.010095642933049946,0.0005313496280552603
c6288__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,2418,4721,3.9048800661703886,1.9524400330851943,1.9524400330851943,0.0,0.0,0.00041356492969396195,0.00041356492969396195
c7552__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,2646,4621,3.492819349962207,1.7464096749811036,1.7464096749811036,0.0,0.0,0.01889644746787604,0.0003779289493575208
c880__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,409,685,3.349633251833741,1.6748166259168704,1.6748166259168704,0.0,0.0,0.0024449877750611247,0.0024449877750611247
cavlc__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,1264,1945,3.0775316455696204,1.5387658227848102,1.5387658227848102,0.0,0.0,0.0007911392405063291,0.0007911392405063291
ctrl__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,340,505,2.9705882352941178,1.4852941176470589,1.4852941176470589,0.0,0.0,0.0029411764705882353,0.0029411764705882353
dec__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,578,872,3.017301038062284,1.508650519031142,1.508650519031142,0.0,0.0,0.0017301038062283738,0.0017301038062283738
i2c__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,2300,3487,3.0321739130434784,1.5160869565217392,1.5160869565217392,0.0,0.0,0.006521739130434782,0.0004347826086956522
int2float__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,427,672,3.1475409836065573,1.5737704918032787,1.5737704918032787,0.0,0.0,0.00234192037470726,0.00234192037470726
max__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,5706,8057,2.824044865054329,1.4120224325271644,1.4120224325271644,0.0,0.0,0.0001752541184717841,0.0001752541184717841
router__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,429,624,2.909090909090909,1.4545454545454546,1.4545454545454546,0.0,0.0,0.002331002331002331,0.002331002331002331
sin__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,1,7705,13095,3.399091499026606,1.699545749513303,1.699545749513303,0.0,0.0,0.00012978585334198572,0.00012978585334198572
Priority__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,1962,2783,2.836901121304791,1.4184505606523956,1.4184505606523956,0.0,0.0,0.0005096839959225281,0.0050968399592252805
adder__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,2558,3311,2.588741204065676,1.294370602032838,1.294370602032838,0.0,0.0,0.00039093041438623924,0.003909304143862392
arbiter__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,23585,35157,2.981301674793301,1.4906508373966505,1.4906508373966505,0.0,0.0,4.2399830400678394e-05,0.00042399830400678397
bar__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,3233,6423,3.973399319517476,1.986699659758738,1.986699659758738,0.0,0.0,0.0003093102381688834,0.003093102381688834
c1355__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,602,1064,3.5348837209302326,1.7674418604651163,1.7674418604651163,0.0,0.0,0.0016611295681063123,0.016611295681063124
c17__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,24,14,1.1666666666666667,0.5833333333333334,0.5833333333333334,0.0,0.0,0.041666666666666664,0.4166666666666667
c1908__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,548,987,3.602189781021898,1.801094890510949,1.801094890510949,0.0,0.0,0.0018248175182481751,0.01824817518248175
c2670__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,984,1455,2.957317073170732,1.478658536585366,1.478658536585366,0.0,0.0,0.09146341463414634,0.01016260162601626
c3540__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,1117,2112,3.781557743957028,1.890778871978514,1.890778871978514,0.0,0.0,0.0008952551477170994,0.008952551477170993
c432__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,222,351,3.1621621621621623,1.5810810810810811,1.5810810810810811,0.08108108108108109,0.0,0.0045045045045045045,0.04504504504504504
c499__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,258,408,3.1627906976744184,1.5813953488372092,1.5813953488372092,0.40310077519379844,0.0,0.003875968992248062,0.03875968992248062
c5315__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,1891,3519,3.7218402961396087,1.8609201480698043,1.8609201480698043,0.0,0.0,0.010047593865679535,0.005288207297726071
c6288__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,2427,4721,3.8903996703749484,1.9451998351874742,1.9451998351874742,0.0,0.0,0.00041203131437989287,0.004120313143798929
c7552__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,2655,4621,3.480979284369115,1.7404896421845575,1.7404896421845575,0.0,0.0,0.018832391713747645,0.003766478342749529
c880__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,418,685,3.277511961722488,1.638755980861244,1.638755980861244,0.0,0.0,0.0023923444976076554,0.023923444976076555
cavlc__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,1273,1945,3.0557737627651216,1.5278868813825608,1.5278868813825608,0.0,0.0,0.0007855459544383347,0.007855459544383346
ctrl__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,349,505,2.8939828080229226,1.4469914040114613,1.4469914040114613,0.0,0.0,0.0028653295128939827,0.02865329512893983
dec__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,587,872,2.971039182282794,1.485519591141397,1.485519591141397,0.0,0.0,0.0017035775127768314,0.017035775127768313
i2c__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,2309,3487,3.0203551320918147,1.5101775660459074,1.5101775660459074,0.0,0.0,0.0064963187527068,0.0043308791684712
int2float__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,436,672,3.0825688073394497,1.5412844036697249,1.5412844036697249,0.0,0.0,0.0022935779816513763,0.022935779816513763
max__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,5715,8057,2.8195975503062116,1.4097987751531058,1.4097987751531058,0.0,0.0,0.00017497812773403323,0.0017497812773403325
router__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,438,624,2.8493150684931505,1.4246575342465753,1.4246575342465753,0.0,0.0,0.00228310502283105,0.0228310502283105
sin__trojan_countermux.v,Trojanized_ISCAS_EPFL_countermux,1,7714,13095,3.3951257453979777,1.6975628726989889,1.6975628726989889,0.0,0.0,0.00012963443090484831,0.0012963443090484833
Priority__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,1962,2783,2.836901121304791,1.4184505606523956,1.4184505606523956,0.0,0.0,0.0005096839959225281,0.0050968399592252805
adder__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,2558,3311,2.588741204065676,1.294370602032838,1.294370602032838,0.0,0.0,0.00039093041438623924,0.003909304143862392
arbiter__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,23585,35157,2.981301674793301,1.4906508373966505,1.4906508373966505,0.0,0.0,4.2399830400678394e-05,0.00042399830400678397
bar__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,3233,6423,3.973399319517476,1.986699659758738,1.986699659758738,0.0,0.0,0.0003093102381688834,0.003093102381688834
c1355__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,602,1064,3.5348837209302326,1.7674418604651163,1.7674418604651163,0.0,0.0,0.0016611295681063123,0.016611295681063124
c17__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,24,14,1.1666666666666667,0.5833333333333334,0.5833333333333334,0.0,0.0,0.041666666666666664,0.4166666666666667
c1908__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,548,987,3.602189781021898,1.801094890510949,1.801094890510949,0.0,0.0,0.0018248175182481751,0.01824817518248175
c2670__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,984,1455,2.957317073170732,1.478658536585366,1.478658536585366,0.0,0.0,0.09146341463414634,0.01016260162601626
c3540__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,1117,2112,3.781557743957028,1.890778871978514,1.890778871978514,0.0,0.0,0.0008952551477170994,0.008952551477170993
c432__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,222,351,3.1621621621621623,1.5810810810810811,1.5810810810810811,0.08108108108108109,0.0,0.0045045045045045045,0.04504504504504504
c499__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,258,408,3.1627906976744184,1.5813953488372092,1.5813953488372092,0.40310077519379844,0.0,0.003875968992248062,0.03875968992248062
c5315__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,1891,3519,3.7218402961396087,1.8609201480698043,1.8609201480698043,0.0,0.0,0.010047593865679535,0.005288207297726071
c6288__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,2427,4721,3.8903996703749484,1.9451998351874742,1.9451998351874742,0.0,0.0,0.00041203131437989287,0.004120313143798929
c7552__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,2655,4621,3.480979284369115,1.7404896421845575,1.7404896421845575,0.0,0.0,0.018832391713747645,0.003766478342749529
c880__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,418,685,3.277511961722488,1.638755980861244,1.638755980861244,0.0,0.0,0.0023923444976076554,0.023923444976076555
cavlc__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,1273,1945,3.0557737627651216,1.5278868813825608,1.5278868813825608,0.0,0.0,0.0007855459544383347,0.007855459544383346
ctrl__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,349,505,2.8939828080229226,1.4469914040114613,1.4469914040114613,0.0,0.0,0.0028653295128939827,0.02865329512893983
dec__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,587,872,2.971039182282794,1.485519591141397,1.485519591141397,0.0,0.0,0.0017035775127768314,0.017035775127768313
i2c__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,2309,3487,3.0203551320918147,1.5101775660459074,1.5101775660459074,0.0,0.0,0.0064963187527068,0.0043308791684712
int2float__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,436,672,3.0825688073394497,1.5412844036697249,1.5412844036697249,0.0,0.0,0.0022935779816513763,0.022935779816513763
max__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,5715,8057,2.8195975503062116,1.4097987751531058,1.4097987751531058,0.0,0.0,0.00017497812773403323,0.0017497812773403325
router__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,438,624,2.8493150684931505,1.4246575342465753,1.4246575342465753,0.0,0.0,0.00228310502283105,0.0228310502283105
sin__trojan_fsmor.v,Trojanized_ISCAS_EPFL_fsmor,1,7714,13095,3.3951257453979777,1.6975628726989889,1.6975628726989889,0.0,0.0,0.00012963443090484831,0.0012963443090484833
