circuit_name,folder,subgraph_id,center_node,label_subgraph,num_nodes,num_edges,avg_degree,type_hist_json
Priority.v,verilog_benchmark_circuits,Priority.v__0,\A[32],0,9,8,3.5555555555555554,"{""and"": 0.5555555555555556, ""not"": 0.3333333333333333, ""input"": 0.1111111111111111}"
Priority.v,verilog_benchmark_circuits,Priority.v__1,\A[121],0,10,9,3.0,"{""and"": 0.5, ""not"": 0.4, ""input"": 0.1}"
Priority.v,verilog_benchmark_circuits,Priority.v__2,\A[83],0,9,8,3.5555555555555554,"{""and"": 0.5555555555555556, ""not"": 0.3333333333333333, ""input"": 0.1111111111111111}"
adder.v,verilog_benchmark_circuits,adder.v__0,\b[58],0,6,5,2.5,"{""input"": 0.3333333333333333, ""not"": 0.3333333333333333, ""and"": 0.3333333333333333}"
adder.v,verilog_benchmark_circuits,adder.v__1,\b[6],0,6,5,2.5,"{""and"": 0.3333333333333333, ""input"": 0.3333333333333333, ""not"": 0.3333333333333333}"
adder.v,verilog_benchmark_circuits,adder.v__2,\a[51],0,6,5,2.5,"{""input"": 0.3333333333333333, ""not"": 0.3333333333333333, ""and"": 0.3333333333333333}"
arbiter.v,verilog_benchmark_circuits,arbiter.v__0,\priority[86],0,8,7,8.25,"{""and"": 0.5, ""not"": 0.375, ""input"": 0.125}"
arbiter.v,verilog_benchmark_circuits,arbiter.v__1,\req[29],0,11,10,3.4545454545454546,"{""and"": 0.5454545454545454, ""not"": 0.36363636363636365, ""input"": 0.09090909090909091}"
arbiter.v,verilog_benchmark_circuits,arbiter.v__2,\req[12],0,11,10,3.4545454545454546,"{""and"": 0.5454545454545454, ""not"": 0.36363636363636365, ""input"": 0.09090909090909091}"
bar.v,verilog_benchmark_circuits,bar.v__0,\a[22],0,9,9,31.11111111111111,"{""and"": 0.6666666666666666, ""input"": 0.2222222222222222, ""not"": 0.1111111111111111}"
bar.v,verilog_benchmark_circuits,bar.v__1,\a[51],0,9,9,31.11111111111111,"{""and"": 0.6666666666666666, ""input"": 0.2222222222222222, ""not"": 0.1111111111111111}"
bar.v,verilog_benchmark_circuits,bar.v__2,\a[74],0,9,9,31.11111111111111,"{""and"": 0.6666666666666666, ""input"": 0.2222222222222222, ""not"": 0.1111111111111111}"
c1355.v,verilog_benchmark_circuits,c1355.v__0,G35,0,5,5,4.0,"{""input"": 0.4, ""nand"": 0.4, ""and"": 0.2}"
c1355.v,verilog_benchmark_circuits,c1355.v__1,G38,0,5,5,4.0,"{""input"": 0.4, ""nand"": 0.4, ""and"": 0.2}"
c1355.v,verilog_benchmark_circuits,c1355.v__2,G28,0,16,24,3.9375,"{""nand"": 0.75, ""input"": 0.1875, ""and"": 0.0625}"
c17.v,verilog_benchmark_circuits,c17.v__0,N1,0,4,3,2.25,"{""input"": 0.5, ""nand"": 0.5}"
c17.v,verilog_benchmark_circuits,c17.v__1,N6,0,5,4,2.8,"{""nand"": 0.6, ""input"": 0.4}"
c17.v,verilog_benchmark_circuits,c17.v__2,N2,0,5,4,3.0,"{""nand"": 0.8, ""input"": 0.2}"
c1908.v,verilog_benchmark_circuits,c1908.v__0,N79,0,11,11,4.2727272727272725,"{""nand"": 0.5454545454545454, ""input"": 0.18181818181818182, ""not"": 0.18181818181818182, ""and"": 0.09090909090909091}"
c1908.v,verilog_benchmark_circuits,c1908.v__1,N104,0,41,46,5.121951219512195,"{""and"": 0.5121951219512195, ""nand"": 0.2926829268292683, ""not"": 0.14634146341463414, ""input"": 0.04878048780487805}"
c1908.v,verilog_benchmark_circuits,c1908.v__2,N91,0,7,6,3.142857142857143,"{""nand"": 0.42857142857142855, ""input"": 0.2857142857142857, ""not"": 0.14285714285714285, ""and"": 0.14285714285714285}"
c2670.v,verilog_benchmark_circuits,c2670.v__0,N79,0,5,4,11.6,"{""input"": 0.6, ""and"": 0.2, ""or"": 0.2}"
c2670.v,verilog_benchmark_circuits,c2670.v__1,N114,0,5,4,11.0,"{""input"": 0.6, ""or"": 0.2, ""and"": 0.2}"
c2670.v,verilog_benchmark_circuits,c2670.v__2,N237,0,18,19,2.7777777777777777,"{""and"": 0.3333333333333333, ""input"": 0.3333333333333333, ""not"": 0.2777777777777778, ""nand"": 0.05555555555555555}"
c3540.v,verilog_benchmark_circuits,c3540.v__0,N283,0,31,30,7.354838709677419,"{""and"": 0.3225806451612903, ""not"": 0.3225806451612903, ""nor"": 0.22580645161290322, ""input"": 0.06451612903225806, ""or"": 0.06451612903225806}"
c3540.v,verilog_benchmark_circuits,c3540.v__1,N87,0,44,48,5.931818181818182,"{""and"": 0.3181818181818182, ""nor"": 0.20454545454545456, ""not"": 0.18181818181818182, ""nand"": 0.11363636363636363, ""or"": 0.11363636363636363, ""input"": 0.06818181818181818}"
c3540.v,verilog_benchmark_circuits,c3540.v__2,N58,0,52,60,6.096153846153846,"{""and"": 0.3269230769230769, ""not"": 0.19230769230769232, ""nand"": 0.17307692307692307, ""nor"": 0.17307692307692307, ""or"": 0.07692307692307693, ""input"": 0.057692307692307696}"
c432.v,verilog_benchmark_circuits,c432.v__0,N79,0,7,6,4.285714285714286,"{""nand"": 0.42857142857142855, ""not"": 0.2857142857142857, ""input"": 0.14285714285714285, ""nor"": 0.14285714285714285}"
c432.v,verilog_benchmark_circuits,c432.v__1,N30,0,18,19,4.055555555555555,"{""nand"": 0.5555555555555556, ""nor"": 0.1111111111111111, ""not"": 0.1111111111111111, ""and"": 0.1111111111111111, ""input"": 0.05555555555555555, ""xor"": 0.05555555555555555}"
c432.v,verilog_benchmark_circuits,c432.v__2,N105,0,7,6,4.285714285714286,"{""nand"": 0.42857142857142855, ""not"": 0.2857142857142857, ""nor"": 0.14285714285714285, ""input"": 0.14285714285714285}"
c499.v,verilog_benchmark_circuits,c499.v__0,N129,0,4,3,3.75,"{""input"": 0.5, ""and"": 0.25, ""xor"": 0.25}"
c499.v,verilog_benchmark_circuits,c499.v__1,N134,0,4,3,3.75,"{""input"": 0.5, ""xor"": 0.25, ""and"": 0.25}"
c499.v,verilog_benchmark_circuits,c499.v__2,N5,0,10,9,2.9,"{""xor"": 0.5, ""input"": 0.3, ""and"": 0.1, ""output"": 0.1}"
c5315.v,verilog_benchmark_circuits,c5315.v__0,N79,0,5,4,6.8,"{""and"": 0.4, ""input"": 0.2, ""or"": 0.2, ""not"": 0.2}"
c5315.v,verilog_benchmark_circuits,c5315.v__1,N191,0,9,8,11.555555555555555,"{""input"": 0.3333333333333333, ""not"": 0.2222222222222222, ""or"": 0.2222222222222222, ""and"": 0.2222222222222222}"
c5315.v,verilog_benchmark_circuits,c5315.v__2,N114,0,5,4,16.0,"{""input"": 0.4, ""or"": 0.2, ""and"": 0.2, ""not"": 0.2}"
c6288.v,verilog_benchmark_circuits,c6288.v__0,N307,0,65,80,7.138461538461539,"{""nor"": 0.49230769230769234, ""input"": 0.26153846153846155, ""and"": 0.24615384615384617}"
c6288.v,verilog_benchmark_circuits,c6288.v__1,N290,0,65,80,6.907692307692308,"{""nor"": 0.49230769230769234, ""input"": 0.26153846153846155, ""and"": 0.24615384615384617}"
c6288.v,verilog_benchmark_circuits,c6288.v__2,N528,0,65,80,7.138461538461539,"{""nor"": 0.49230769230769234, ""input"": 0.26153846153846155, ""and"": 0.24615384615384617}"
c7552.v,verilog_benchmark_circuits,c7552.v__0,N79,0,4,3,25.25,"{""input"": 0.25, ""not"": 0.25, ""and"": 0.25, ""or"": 0.25}"
c7552.v,verilog_benchmark_circuits,c7552.v__1,N134,0,4,3,2.0,"{""and"": 0.5, ""input"": 0.5}"
c7552.v,verilog_benchmark_circuits,c7552.v__2,N191,0,4,3,31.25,"{""input"": 0.5, ""and"": 0.25, ""or"": 0.25}"
c880.v,verilog_benchmark_circuits,c880.v__0,N260,0,4,3,2.5,"{""input"": 0.5, ""nor"": 0.25, ""and"": 0.25}"
c880.v,verilog_benchmark_circuits,c880.v__1,N91,0,11,12,4.363636363636363,"{""nand"": 0.2727272727272727, ""input"": 0.2727272727272727, ""and"": 0.18181818181818182, ""nor"": 0.18181818181818182, ""or"": 0.09090909090909091}"
c880.v,verilog_benchmark_circuits,c880.v__2,N87,0,5,4,2.4,"{""input"": 0.4, ""and"": 0.2, ""or"": 0.2, ""nand"": 0.2}"
cavlc.v,verilog_benchmark_circuits,cavlc.v__0,\ctable[1],0,105,122,5.9714285714285715,"{""and"": 0.6190476190476191, ""not"": 0.3333333333333333, ""input"": 0.047619047619047616}"
cavlc.v,verilog_benchmark_circuits,cavlc.v__1,\totalcoeffs[2],0,153,179,5.019607843137255,"{""and"": 0.6535947712418301, ""not"": 0.30718954248366015, ""input"": 0.0392156862745098}"
cavlc.v,verilog_benchmark_circuits,cavlc.v__2,\totalcoeffs[4],0,43,43,6.27906976744186,"{""and"": 0.6744186046511628, ""not"": 0.23255813953488372, ""input"": 0.06976744186046512, ""nor"": 0.023255813953488372}"
ctrl.v,verilog_benchmark_circuits,ctrl.v__0,\opcode[3],0,39,50,5.3076923076923075,"{""and"": 0.5897435897435898, ""not"": 0.2564102564102564, ""input"": 0.15384615384615385}"
ctrl.v,verilog_benchmark_circuits,ctrl.v__1,\op_ext[1],0,11,11,3.6363636363636362,"{""and"": 0.45454545454545453, ""not"": 0.36363636363636365, ""input"": 0.18181818181818182}"
ctrl.v,verilog_benchmark_circuits,ctrl.v__2,\op_ext[0],0,12,14,4.083333333333333,"{""and"": 0.5, ""input"": 0.25, ""not"": 0.25}"
dec.v,verilog_benchmark_circuits,dec.v__0,\count[0],0,16,18,11.25,"{""and"": 0.75, ""input"": 0.125, ""not"": 0.125}"
dec.v,verilog_benchmark_circuits,dec.v__1,\count[3],0,16,18,11.25,"{""and"": 0.75, ""input"": 0.125, ""not"": 0.125}"
dec.v,verilog_benchmark_circuits,dec.v__2,\count[6],0,16,18,11.25,"{""and"": 0.75, ""not"": 0.125, ""input"": 0.125}"
i2c.v,verilog_benchmark_circuits,i2c.v__0,pi125,0,7,6,5.857142857142857,"{""not"": 0.42857142857142855, ""input"": 0.2857142857142857, ""and"": 0.2857142857142857}"
i2c.v,verilog_benchmark_circuits,i2c.v__1,pi031,0,10,10,4.6,"{""and"": 0.4, ""not"": 0.4, ""input"": 0.2}"
i2c.v,verilog_benchmark_circuits,i2c.v__2,pi003,0,44,43,4.0,"{""and"": 0.8181818181818182, ""not"": 0.06818181818181818, ""or"": 0.045454545454545456, ""output"": 0.045454545454545456, ""input"": 0.022727272727272728}"
int2float.v,verilog_benchmark_circuits,int2float.v__0,\B[7],0,68,92,5.102941176470588,"{""and"": 0.6323529411764706, ""not"": 0.2647058823529412, ""input"": 0.08823529411764706, ""nor"": 0.014705882352941176}"
int2float.v,verilog_benchmark_circuits,int2float.v__1,\B[0],0,20,20,5.2,"{""and"": 0.45, ""not"": 0.4, ""input"": 0.15}"
int2float.v,verilog_benchmark_circuits,int2float.v__2,\B[3],0,60,72,4.816666666666666,"{""and"": 0.5666666666666667, ""not"": 0.2833333333333333, ""input"": 0.11666666666666667, ""or"": 0.016666666666666666, ""output"": 0.016666666666666666}"
max.v,verilog_benchmark_circuits,max.v__0,\in0[10],0,9,8,16.444444444444443,"{""not"": 0.5555555555555556, ""and"": 0.3333333333333333, ""input"": 0.1111111111111111}"
max.v,verilog_benchmark_circuits,max.v__1,\in2[60],0,9,8,16.555555555555557,"{""not"": 0.4444444444444444, ""and"": 0.4444444444444444, ""input"": 0.1111111111111111}"
max.v,verilog_benchmark_circuits,max.v__2,\in2[115],0,9,8,16.444444444444443,"{""not"": 0.5555555555555556, ""and"": 0.3333333333333333, ""input"": 0.1111111111111111}"
router.v,verilog_benchmark_circuits,router.v__0,\dest_x[10],0,6,5,2.6666666666666665,"{""input"": 0.3333333333333333, ""and"": 0.3333333333333333, ""not"": 0.3333333333333333}"
router.v,verilog_benchmark_circuits,router.v__1,\dest_x[21],0,6,5,2.8333333333333335,"{""and"": 0.5, ""not"": 0.3333333333333333, ""input"": 0.16666666666666666}"
router.v,verilog_benchmark_circuits,router.v__2,\dest_x[3],0,7,6,3.142857142857143,"{""input"": 0.42857142857142855, ""and"": 0.42857142857142855, ""nor"": 0.14285714285714285}"
sin.v,verilog_benchmark_circuits,sin.v__0,\a[17],0,7,6,2.7142857142857144,"{""and"": 0.42857142857142855, ""not"": 0.42857142857142855, ""input"": 0.14285714285714285}"
sin.v,verilog_benchmark_circuits,sin.v__1,\a[22],0,53,52,3.547169811320755,"{""and"": 0.5094339622641509, ""not"": 0.2641509433962264, ""input"": 0.22641509433962265}"
sin.v,verilog_benchmark_circuits,sin.v__2,\a[15],0,9,8,3.888888888888889,"{""not"": 0.4444444444444444, ""and"": 0.3333333333333333, ""input"": 0.2222222222222222}"
Priority__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,Priority__trojan_andxor.v__0,fsm_trigger_2113,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
adder__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,adder__trojan_andxor.v__0,fsm_trigger_2598,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
arbiter__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,arbiter__trojan_andxor.v__0,fsm_trigger_26543,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
bar__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,bar__trojan_andxor.v__0,fsm_trigger_3482,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c1355__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c1355__trojan_andxor.v__0,fsm_trigger_613,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c17__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c17__trojan_andxor.v__0,fsm_trigger_23,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c1908__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c1908__trojan_andxor.v__0,fsm_trigger_568,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c2670__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c2670__trojan_andxor.v__0,fsm_trigger_1003,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c3540__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c3540__trojan_andxor.v__0,fsm_trigger_1205,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__0,XOR2_106,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__1,XOR2_100,1,27,27,3.7777777777777777,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__2,XOR2_51,1,31,31,3.935483870967742,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""not"": 0.0967741935483871, ""and"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__3,XOR2_101,1,27,27,3.7777777777777777,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__4,XOR2_110,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__5,fsm_trigger_215,1,1,0,0.0,"{""fsm_trigger"": 1.0}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__6,XOR2_57,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""not"": 0.0967741935483871, ""and"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__7,XOR2_52,1,31,31,3.935483870967742,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""not"": 0.0967741935483871, ""and"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__8,XOR2_53,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""and"": 0.0967741935483871, ""not"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__9,XOR2_102,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__10,XOR2_112,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__11,XOR2_59,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""and"": 0.0967741935483871, ""not"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__12,XOR2_54,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""and"": 0.0967741935483871, ""not"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__13,XOR2_99,1,27,27,3.7777777777777777,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__14,XOR2_55,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""and"": 0.0967741935483871, ""not"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__15,XOR2_61,1,31,31,3.870967741935484,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""not"": 0.0967741935483871, ""and"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__16,XOR2_108,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__17,XOR2_50,1,31,31,3.935483870967742,"{""nand"": 0.3870967741935484, ""xor"": 0.3225806451612903, ""not"": 0.0967741935483871, ""and"": 0.0967741935483871, ""nor"": 0.06451612903225806, ""input"": 0.03225806451612903}"
c432__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c432__trojan_andxor.v__18,XOR2_104,1,27,27,3.7037037037037037,"{""nand"": 0.4074074074074074, ""xor"": 0.37037037037037035, ""and"": 0.1111111111111111, ""not"": 0.07407407407407407, ""nor"": 0.037037037037037035}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__0,XOR2_3,1,11,10,3.090909090909091,"{""xor"": 0.8181818181818182, ""input"": 0.18181818181818182}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__1,XOR2_9,1,11,10,3.090909090909091,"{""xor"": 0.8181818181818182, ""input"": 0.18181818181818182}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__2,XOR2_182,1,8,7,4.25,"{""xor"": 0.5, ""and"": 0.25, ""input"": 0.125, ""output"": 0.125}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__3,XOR2_58,1,12,11,3.6666666666666665,"{""xor"": 0.9166666666666666, ""and"": 0.08333333333333333}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__4,XOR2_63,1,12,11,3.75,"{""xor"": 0.9166666666666666, ""and"": 0.08333333333333333}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__5,XOR2_32,1,10,9,3.7,"{""xor"": 0.8, ""input"": 0.2}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__6,XOR2_202,1,8,7,4.25,"{""xor"": 0.5, ""and"": 0.25, ""input"": 0.125, ""output"": 0.125}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__7,XOR2_27,1,10,9,3.6,"{""xor"": 0.8, ""input"": 0.2}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__8,XOR2_68,1,17,16,4.588235294117647,"{""and"": 0.47058823529411764, ""xor"": 0.35294117647058826, ""input"": 0.11764705882352941, ""not"": 0.058823529411764705}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__9,XOR2_67,1,17,16,4.588235294117647,"{""and"": 0.47058823529411764, ""xor"": 0.35294117647058826, ""input"": 0.11764705882352941, ""not"": 0.058823529411764705}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__10,XOR2_57,1,12,11,3.6666666666666665,"{""xor"": 0.9166666666666666, ""and"": 0.08333333333333333}"
c499__trojan_andxor.v,Trojanized_ISCAS_EPFL_andxor,c499__trojan_andxor.v__11,XOR2_12,1,11,10,3.090909090909091,"{""xor"": 0.8181818181818182, ""input"": 0.18181818181818182}"
